# GESP C++ L3 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp3-kp01 | 一维数组进阶 | 数组与字符串
#   cpp3-kp02 | 二维数组/矩阵 | 数组与字符串
#   cpp3-kp03 | 字符数组与字符串基础 | 数组与字符串
#   cpp3-kp04 | string 字符串进阶 | 数组与字符串
#   cpp3-kp05 | 函数定义与调用 | 函数与递归
#   cpp3-kp06 | 函数递归 | 函数与递归
#   cpp3-kp07 | 变量作用域与生命周期 | 基础语法
#   cpp3-kp08 | 结构体 struct | 结构体入门
#   cpp3-kp09 | 指针基础 | 指针基础
#   cpp3-kp10 | 指针与数组 | 指针基础
#   cpp3-kp11 | 冒泡排序 | 排序查找
#   cpp3-kp12 | 选择排序 | 排序查找
#   cpp3-kp13 | 插入排序 | 排序查找
#   cpp3-kp14 | 排序思想与快排入门 | 排序查找
#   cpp3-kp15 | 顺序查找 | 排序查找
#   cpp3-kp16 | 二分查找 | 排序查找
#   cpp3-kp17 | 进制转换 | 进制与位运算
#   cpp3-kp18 | 位运算初步 | 进制与位运算
#   cpp3-kp19 | 枚举算法 | 枚举模拟
#   cpp3-kp20 | 模拟算法 | 枚举模拟
#   cpp3-kp21 | 综合应用 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-582	20	6	判断题	C++中可以对数组和数组的每个基础类型的元素赋值。	A：对	B：错			B
lele-582	21	7	判断题	如果 为 int 类型的变量，且表达式 ((a | 3) == 3) 的值为 true ，则说明 在从0到3之间（可能为0、可能为3）。	A：对	B：错			A
lele-582	22	8	判断题	执行下面C++代码后，输出的结果是8。	A：对	B：错			B
lele-582	23	9	判断题	执行下面C++代码后，输出的结果不可能是89781。（ ）	A：对	B：错			A
lele-582	24	10	判断题	把整数3025从中剪开分为30和25两个数，此时再将这两数之和平方，计算结果又等于原数。(30 + 25) × (30+ 25) = 55 × 55 = 3025，这样的数叫“雷劈数”。可以使用枚举的方法求出所有符合这样条件的四位数。（ ）	A：对	B：错			A
lele-496	0	1	单选题	整数-5的16位补码表示是( )。	A：1005	B：1006	C：FFFA	D：FFFB	D
lele-496	1	2	单选题	如果16位短整数 -2 的二进制是"FFFE"，则短整数 -4 的十六进制是( )。	A：FF04	B：FFFA	C：FFFC	D：FFFH	C
lele-496	2	3	单选题	下面C++代码执行后的输出是( )。int main() { cout << (3|16) << endl; cout << endl; return 0; }	A：3	B：16	C：19	D：48	C
lele-496	3	4	单选题	定义整数 int x=-5 ，则执行C++代码 cout << (x == (x<<1>>1)) 输出是（ ）。	A：0	B：1	C：-5	D：5	B
lele-496	4	5	单选题	已知字符 '0' 的ASCII编码的十进制表示为48，则执行下面C++代码后，输出是（ ）int main() { string s="316"; int n=s.length(); int x=0; for(int i = 0; i < n; i++) x += s[i]; cout << x << endl; cout << endl; return 0; }	A：10	B：58	C：154	D：316	C
lele-496	5	6	单选题	下面C++代码执行后数组中大于0的数的特征是（ ）。int main() { int a[20],i; for(i = 0; i < 20; i++) a[i] = i+1; for(int i = 0; i < 20; i++) if((a[i]%2)&&(a[i]%3)) a[i] = 0; for(i = 0; i < 20; i++) if(a[i]) cout << a[i] << " "; cout << endl; return 0; }	A：2的倍数	B：3的倍数	C：能被2或3整除的数	D：能被2和3同时整除的数	C
lele-496	6	7	单选题	执行下面C++代码后输出的第一个数是（ ）。int main() { int a[20],i; for(i = 0; i < 20; i++) a[i] = i+1; for( ; i > 0; i--) cout << a[i-1] << " "; cout << endl; return 0; }	A：20	B：19	C：1	D：不确定	A
lele-496	7	8	单选题	在下列代码的横线处填写（ ），可以使得输出是 GESP IS INTERESTING 。int main() { string str="gEsP is Interesting"; int x = str.length(); for(int i = 0; i < x; i++) if ((str[i]>='a') && (str[i]<='z')) ________________________; cout << str << endl; cout << endl; return 0; }	A：str[i]+='a'-'A'	B：str[i]+=20	C：str[i]+='A'-'a'	D：无法实现	C
lele-496	8	9	单选题	假设英文句子由若干词构成。下面C++代码统计输出的词数是（ ）。int main() { string str="gEsP is Interesting !"; int x = str.length(); int nwords = 0; for(int i = 0; i < x; i++) if (str[i]==' '){ nwords++; while(str[++i]==' ') ; } cout << nwords << endl; cout << endl; return 0; }	A：1	B：2	C：3	D：4	C
lele-496	9	10	单选题	C++的字符变量的码值是整数，下面字面量形式的字符码值最大的是（ ）。	A：100	B：075	C：0x70	D：0x60	C
lele-496	10	11	单选题	下面C++程序执行的结果是（ ）。int main() { int a[20],i; int cnt=0; for(i = 0; i < 20; i++) a[i] = i+1; for( ; i > 1; i--) if((a[i-1]+a[i-2])%3) cnt++; cout << cnt << endl; cout << endl; return 0; }	A：5	B：6	C：10	D：12	D
lele-496	11	12	单选题	定义字符数组 char str[20] = {'G', 'E', 'S', 'P'}; ，则 str 的字符串长度为（ ）。	A：4	B：5	C：19	D：20	A
lele-496	12	13	单选题	定义整型变量 int a=3, b=16 ，则 a|b 的值和 a+b 的关系是（ ）。	A：大于	B：等于	C：小于	D：等于或小于	B
lele-496	13	14	单选题	小杨的父母最近刚刚给他买了一块华为手表，他说手表上跑的是鸿蒙，这个鸿蒙是（ ）。	A：小程序	B：计时器	C：操作系统	D：神话人物	C
lele-496	14	15	单选题	中国计算机学会（CCF）在2024年1月27日的颁奖典礼上颁布了王选奖，王选先生的重大贡献是（ ）。	A：制造自动驾驶汽车	B：创立培训学校	C：发明汉字激光照排系统	D：成立方正公司	C
lele-496	15	1	判断题	任意整数 a 的二进制反码与补码都有1位不同。 ( )	A：正确	B：错误			B
lele-496	16	2	判断题	对整型变量 int a = 3 ，执行C++代码 a<<2 将把2输出到 a 中。( )	A：正确	B：错误			B
lele-496	17	3	判断题	下面C++代码可以计算1到100的累加和，采用的是穷举法。( )int main() { int i,sum=0; for(int i = 1; i <= 100 ; i++) sum += i; cout << sum << endl; cout << endl; return 0; }	A：正确	B：错误			B
lele-496	18	4	判断题	一个 int 类型变量 a ，执行操作 (a<<2>>2) 后的值一定是 a 。（ ）	A：正确	B：错误			B
lele-496	19	5	判断题	在C++语言中， (010<<1) 执行结果是 100 。（ ）	A：正确	B：错误			B
lele-496	20	6	判断题	执行下面C++代码后将输出 2 。（ ）int main() { string str="gEsP is Interesting"; int x = str.find("s"); cout << x << endl; cout << endl; return 0; }	A：正确	B：错误			A
lele-496	21	7	判断题	在C++语言中，字符数组被定义时，它的大小可以调整。（ ）	A：正确	B：错误			B
lele-496	22	8	判断题	对定义的数组 int a[7]={2,0,2,4,3,1,6} ，可以用简单循环就找到其中最小的整数。（ ）	A：正确	B：错误			A
lele-496	23	9	判断题	任何一个 for 循环都可以转化为等价的 while 循环（ ）	A：正确	B：错误			A
lele-496	24	10	判断题	小杨今年春节回奶奶家了，奶奶家的数字电视要设置ip地址并接入到WIFI盒子才能收看节目，那这个WIFI盒子具有路由器的功能。（ ）	A：正确	B：错误			A
lele-416	0	1	单选题	下面C++数组的定义中，会丢失数据的是( )。	A：char dict_key[] = {'p','t','o'};	B：int dict_value[] = {33,22,11};	C：char dict_name[]={'chen','wang','zhou'};	D：float dict_value[]={3,2,1};	C
lele-416	1	2	单选题	在下列编码中，不能够和二进制"1101 1101"相等的是( )。	A：（221）10进制	B：（335）8进制	C：（dd）16进制	D：（5d）16进制	D
lele-416	2	3	单选题	下面C++代码执行后不能输出"GESP"的是( )。	A：string str("GESP"); cout<<str<<endl;	B：string str="GESP"; cout<<str<<endl;	C：string str("GESP"); cout<<str[1]<<str[2]<<str[3]<<str[4]<<endl;	D：string str{"GESP"}; cout<<str<<endl;	C
lele-416	3	4	单选题	执行下面C++代码输出是（ ）。	A：10	B：8	C：4	D：3	C
lele-416	4	5	单选题	执行下面C++代码后，输出是（ ）。	A：4	B：2	C：5	D：3	C
lele-416	5	6	单选题	执行下面C++代码后输出的是（ ）。	A：4	B：3	C：2	D：5	A
lele-416	6	7	单选题	执行下面C++代码后输出的是（ ）。	A：输出未知的数	B：输出'n'	C：输出'\0'	D：输出空格	A
lele-416	7	8	单选题	下面C++代码执行后的输出是（ ）。	A：0	B：1	C：输出空格	D：什么也不输出	D
lele-416	8	9	单选题	下面C++代码用于统计每种字符出现的次数，当输出为3时，横线上不能填入的代码是（ ）。	A：str[i]=='o'	B：str[i]=='a'+14	C：str[i]==115	D：str[i]==111	C
lele-416	9	10	单选题	32位计算机中，C++的整型变量int能够表示的数据范围是（ ）。	A：2^31~(2^31)-1	B：2^32	C：-2^31~+(2^31)-1	D：-(2^31)+1~2^31	C
lele-416	10	11	单选题	下面C++程序执行的结果是（ ）。	A：2	B：3	C：5	D：4	A
lele-416	11	12	单选题	C++的数据类型转换让人很难琢磨透，下列代码输出的值是（ ）。	A：1.5	B：1	C：2	D：1.50	B
lele-416	12	13	单选题	C++代码用于抽取字符串中的电话号码。约定：电话号码全部是数字，数字之间没有其他符号如连字符或空格等。代码中变量strSrc仅仅是示例，可以包含更多字符。下面有关代码说法，正确的说法是（ ）。	A：代码将换行输出各个含有数字的电话号码。	B：代码将不换行输出各个含有数字的电话号码，号码中间没有分隔。	C：代码将不换行输出各个含有数字的电话号码，号码中间有分隔。	D：不能够输出数字电话号码。	A
lele-416	13	14	单选题	某公司新出了一款无人驾驶的小汽车，通过声控智能驾驶系统，乘客只要告诉汽车目的地，车子就能自动选择一条优化路线，告诉乘客后驶达那里。请问下面哪项不是驾驶系统完成选路所必须的。（ ）	A：麦克风	B：扬声器	C：油量表	D：传感器	C
lele-416	14	15	单选题	现代计算机是指电子计算机，它所基于的是（ ）体系结构。	A：艾伦·图灵	B：冯·诺依曼	C：阿塔纳索夫	D：埃克特-莫克利	B
lele-416	15	1	判断题	执行C++代码 cout<<(5&&2)<<endl; 后将输出 1 。( )	A：正确	B：错误			A
lele-416	16	2	判断题	C++程序执行后，输入 chen a dai 输出应该为： chen 。（ ）	A：正确	B：错误			A
lele-416	17	3	判断题	执行C++代码 cout<<(5||2); 后将输出 1 。（ ）	A：正确	B：错误			A
lele-416	18	4	判断题	执行下面C++代码后将输出"China"。（ ）	A：正确	B：错误			A
lele-416	19	5	判断题	执行C++代码将输出 0 5 ， 5 之后还有一个空格。（ ）	A：正确	B：错误			B
lele-416	20	6	判断题	下面C++代码将输出1。（ ）	A：正确	B：错误			B
lele-416	21	7	判断题	下面C++程序将输出1。（ ）	A：正确	B：错误			A
lele-416	22	8	判断题	执行C++代码，将输出 1 3 5 7 9 ， 9 之后还有一个空格。（ ）	A：正确	B：错误			A
lele-416	23	9	判断题	小杨最近在准备考GESP，他用的Dev C++来练习和运行程序，所以Dev C++也是一个小型操作系统。（ ）	A：正确	B：错误			B
lele-416	24	10	判断题	任何一个while循环都可以转化为等价的for循环。（ ）	A：正确	B：错误			A
lele-380	0	1	单选题	人们所使用的手机上安装的App通常指的是（ ）。	A：一款操作系统	B：一款应用软件	C：一种通话设备	D：以上都不对	B
lele-380	1	2	单选题	下列流程图的输出结果是？（ ）	A：60	B：20	C：5	D：1	B
lele-380	2	3	单选题	已知大写字符 'A' 的ASCII编码的十六进制表示为 0x41 ，则字符 'L' 的ASCII编码的十六进制表示为（ ）。	A：4A	B：4B	C：4C	D：52	C
lele-380	3	4	单选题	以下哪个不是C++语言中的运算符？（ ）	A：~	B：~~	C：<	D：<<	B
lele-380	4	5	单选题	如果数组定义为 long long array[] = {3, 5, 7, 2}; ，则数组 array 占用的字节数为（ ）。	A：32	B：16	C：8	D：4	A
